#YYYY MM DD HH MM P(mm) PET(mm)
2009  5 25 16  0 0.00000 0.26310
2009  5 25 17  0 0.00000 0.34736
2009  5 25 18  0 0.00000 0.29225
2009  5 25 19  0 0.00000 0.36150
2009  5 25 20  0 0.00000 0.37561
2009  5 25 21  0 0.00000 0.20386
2009  5 25 22  0 0.00000 0.08686
2009  5 25 23  0 0.00000 0.05504
2009  5 26  0  0 0.00000 0.03089
2009  5 26  1  0 0.00000 0.00767
2009  5 26  2  0 0.00000 0.00000
2009  5 26  3  0 0.00000 0.00000
2009  5 26  4  0 0.00000 0.00000
2009  5 26  5  0 0.00000 0.00000
2009  5 26  6  0 0.00000 0.00000
2009  5 26  7  0 0.00000 0.00000
2009  5 26  8  0 0.00000 0.00000
2009  5 26  9  0 0.00000 0.00000
2009  5 26 10  0 0.00000 0.00000
2009  5 26 11  0 0.00000 0.00017
2009  5 26 12  0 0.00000 0.03672
2009  5 26 13  0 0.00000 0.12657
2009  5 26 14  0 0.00000 0.23669
2009  5 26 15  0 0.00000 0.33651
2009  5 26 16  0 2.01886 0.27894
2009  5 26 17  0 0.00000 0.15384
2009  5 26 18  0 0.00000 0.23334
2009  5 26 19  0 0.00000 0.28453
2009  5 26 20  0 0.00000 0.22946
2009  5 26 21  0 0.00000 0.12470
2009  5 26 22  0 0.00000 0.04242
2009  5 26 23  0 0.05660 0.01664
2009  5 27  0  0 0.00000 0.00645
2009  5 27  1  0 0.00000 0.00080
2009  5 27  2  0 0.00000 0.00000
2009  5 27  3  0 0.00000 0.00000
2009  5 27  4  0 0.00000 0.00000
2009  5 27  5  0 0.00000 0.00000
2009  5 27  6  0 0.00000 0.00000
2009  5 27  7  0 0.00000 0.00000
2009  5 27  8  0 0.00000 0.00000
2009  5 27  9  0 0.00000 0.00000
2009  5 27 10  0 0.00000 0.00000
2009  5 27 11  0 0.00000 0.00011
2009  5 27 12  0 0.00000 0.01111
2009  5 27 13  0 0.00000 0.07503
2009  5 27 14  0 0.00000 0.14778
2009  5 27 15  0 0.00000 0.12976
2009  5 27 16  0 0.00000 0.16251
2009  5 27 17  0 0.00000 0.20259
2009  5 27 18  0 0.00000 0.22400
2009  5 27 19  0 0.00000 0.27233
2009  5 27 20  0 0.00000 0.22324
2009  5 27 21  0 0.00000 0.16338
2009  5 27 22  0 0.00000 0.17457
2009  5 27 23  0 0.00000 0.09384
2009  5 28  0  0 0.00000 0.02005
2009  5 28  1  0 0.00000 0.00354
2009  5 28  2  0 0.00000 0.00000
2009  5 28  3  0 0.00000 0.00000
2009  5 28  4  0 0.00000 0.00000
2009  5 28  5  0 0.00000 0.00000
2009  5 28  6  0 0.00000 0.00000
2009  5 28  7  0 0.00000 0.00000
2009  5 28  8  0 0.00000 0.00000
2009  5 28  9  0 0.00000 0.00000
2009  5 28 10  0 0.00000 0.00000
2009  5 28 11  0 0.00000 0.00007
2009  5 28 12  0 0.00000 0.01412
2009  5 28 13  0 0.00000 0.08135
2009  5 28 14  0 0.00000 0.18410
2009  5 28 15  0 0.00000 0.20580
2009  5 28 16  0 0.00000 0.28042
2009  5 28 17  0 0.00000 0.47840
2009  5 28 18  0 0.00000 0.53595
2009  5 28 19  0 0.00000 0.36410
2009  5 28 20  0 0.00000 0.26104
2009  5 28 21  0 0.00000 0.18340
2009  5 28 22  0 0.00000 0.09974
2009  5 28 23  0 0.00000 0.04926
2009  5 29  0  0 0.00000 0.01597
2009  5 29  1  0 2.45283 0.00199
2009  5 29  2  0 0.00000 0.00000
2009  5 29  3  0 0.00000 0.00000
2009  5 29  4  0 0.05660 0.00000
2009  5 29  5  0 0.00000 0.00000
2009  5 29  6  0 0.00000 0.00000
2009  5 29  7  0 0.00000 0.00000
2009  5 29  8  0 0.00000 0.00000
